"subject","trial","condition","sp","value","stim","acc","value_prioritem1","value_prioritem","exp"
"365",10,"distracted - familiar",15,10,"stem",0,"1",1,1
"365",10,"distracted - familiar",16,10,"spike",1,"10",10,1
"365",10,"distracted - familiar",17,8,"salt",1,"10",10,1
"365",10,"distracted - familiar",18,2,"olive",0,"8",8,1
"365",10,"distracted - familiar",19,6,"group",0,"2",2,1
"365",10,"distracted - familiar",20,5,"vase",0,"6",6,1
"365",14,"distracted - familiar",1,1,"author",0,NA,NA,1
"365",14,"distracted - familiar",2,5,"sleeve",0,"1",1,1
"365",14,"distracted - familiar",3,2,"tomb",0,"5",5,1
"365",14,"distracted - familiar",4,8,"deck",0,"2",2,1
"365",14,"distracted - familiar",5,3,"bunch",0,"8",8,1
"365",14,"distracted - familiar",6,9,"crowd",1,"3",3,1
"365",14,"distracted - familiar",7,10,"foot",1,"9",9,1
"365",14,"distracted - familiar",8,10,"device",1,"10",10,1
"365",14,"distracted - familiar",9,3,"iron",0,"10",10,1
"365",14,"distracted - familiar",10,9,"captain",1,"3",3,1
"365",14,"distracted - familiar",11,6,"hole",0,"9",9,1
"365",14,"distracted - familiar",12,7,"tune",0,"6",6,1
"365",14,"distracted - familiar",13,4,"oven",0,"7",7,1
"365",14,"distracted - familiar",14,8,"pump",1,"4",4,1
"365",14,"distracted - familiar",15,7,"beggar",0,"8",8,1
"365",14,"distracted - familiar",16,1,"ceiling",0,"7",7,1
"365",14,"distracted - familiar",17,4,"twig",0,"1",1,1
"365",14,"distracted - familiar",18,5,"fork",0,"4",4,1
"365",14,"distracted - familiar",19,2,"drizzle",0,"5",5,1
"365",14,"distracted - familiar",20,6,"flash",0,"2",2,1
"365",18,"distracted - familiar",1,7,"drill",1,NA,NA,1
"365",18,"distracted - familiar",2,3,"tail",0,"7",7,1
"365",18,"distracted - familiar",3,1,"battle",0,"3",3,1
"365",18,"distracted - familiar",4,10,"doll",1,"1",1,1
"365",18,"distracted - familiar",5,8,"thunder",0,"10",10,1
"365",18,"distracted - familiar",6,8,"puddle",1,"8",8,1
"365",18,"distracted - familiar",7,4,"tourist",0,"8",8,1
"365",18,"distracted - familiar",8,9,"drink",1,"4",4,1
"365",18,"distracted - familiar",9,1,"guard",0,"9",9,1
"365",18,"distracted - familiar",10,10,"hour",0,"1",1,1
"365",18,"distracted - familiar",11,7,"door",0,"10",10,1
"365",18,"distracted - familiar",12,4,"case",0,"7",7,1
"365",18,"distracted - familiar",13,2,"dust",0,"4",4,1
"365",18,"distracted - familiar",14,5,"mayor",0,"2",2,1
"365",18,"distracted - familiar",15,5,"judge",0,"5",5,1
"365",18,"distracted - familiar",16,3,"taste",0,"5",5,1
"365",18,"distracted - familiar",17,2,"plate",0,"3",3,1
"365",18,"distracted - familiar",18,6,"pedal",1,"2",2,1
"365",18,"distracted - familiar",19,6,"toast",0,"6",6,1
"365",18,"distracted - familiar",20,9,"hook",1,"6",6,1
"365",22,"distracted - familiar",1,1,"spot",0,NA,NA,1
"365",22,"distracted - familiar",2,9,"lens",1,"1",1,1
"365",22,"distracted - familiar",3,6,"loop",0,"9",9,1
"365",22,"distracted - familiar",4,8,"magnet",1,"6",6,1
"365",22,"distracted - familiar",5,10,"broom",1,"8",8,1
"365",22,"distracted - familiar",6,5,"store",0,"10",10,1
"365",22,"distracted - familiar",7,7,"miner",1,"5",5,1
"365",22,"distracted - familiar",8,4,"sweat",0,"7",7,1
"365",22,"distracted - familiar",9,2,"string",0,"4",4,1
"365",22,"distracted - familiar",10,8,"card",0,"2",2,1
"365",22,"distracted - familiar",11,6,"nerve",0,"8",8,1
"365",22,"distracted - familiar",12,3,"booth",0,"6",6,1
"365",22,"distracted - familiar",13,10,"angle",0,"3",3,1
"365",22,"distracted - familiar",14,1,"cement",0,"10",10,1
"365",22,"distracted - familiar",15,5,"zipper",0,"1",1,1
"365",22,"distracted - familiar",16,7,"pupil",1,"5",5,1
"365",22,"distracted - familiar",17,2,"straw",0,"7",7,1
"365",22,"distracted - familiar",18,4,"gravel",0,"2",2,1
"365",22,"distracted - familiar",19,3,"pile",0,"4",4,1
"365",22,"distracted - familiar",20,9,"nation",1,"3",3,1
"365",26,"distracted - familiar",1,2,"tide",0,NA,NA,1
"365",26,"distracted - familiar",2,5,"kernel",0,"2",2,1
"365",26,"distracted - familiar",3,10,"journal",1,"5",5,1
"365",26,"distracted - familiar",4,4,"mustard",0,"10",10,1
"365",26,"distracted - familiar",5,1,"dough",0,"4",4,1
"365",26,"distracted - familiar",6,8,"pork",1,"1",1,1
"365",26,"distracted - familiar",7,3,"hall",0,"8",8,1
"365",26,"distracted - familiar",8,6,"curb",0,"3",3,1
"365",26,"distracted - familiar",9,1,"spark",0,"6",6,1
"365",26,"distracted - familiar",10,4,"ride",0,"1",1,1
"365",26,"distracted - familiar",11,6,"lesson",0,"4",4,1
"365",26,"distracted - familiar",12,2,"square",0,"6",6,1
"365",26,"distracted - familiar",13,5,"hammer",0,"2",2,1
"365",26,"distracted - familiar",14,7,"spear",1,"5",5,1
"365",26,"distracted - familiar",15,10,"helmet",0,"7",7,1
"365",26,"distracted - familiar",16,9,"court",0,"10",10,1
"365",26,"distracted - familiar",17,7,"flannel",0,"9",9,1
"365",26,"distracted - familiar",18,9,"stump",0,"7",7,1
"365",26,"distracted - familiar",19,8,"steel",1,"9",9,1
"365",26,"distracted - familiar",20,3,"cellar",0,"8",8,1
"529.1",6,"distracted - familiar",1,2,"cape",1,NA,NA,1
"529.1",6,"distracted - familiar",2,5,"news",1,"2",2,1
"529.1",6,"distracted - familiar",3,3,"bandage",0,"5",5,1
"529.1",6,"distracted - familiar",4,10,"garment",1,"3",3,1
"529.1",6,"distracted - familiar",5,8,"step",0,"10",10,1
"529.1",6,"distracted - familiar",6,2,"tire",0,"8",8,1
"529.1",6,"distracted - familiar",7,1,"cannon",0,"2",2,1
"529.1",6,"distracted - familiar",8,1,"beggar",0,"1",1,1
"529.1",6,"distracted - familiar",9,4,"cube",0,"1",1,1
"529.1",6,"distracted - familiar",10,9,"string",1,"4",4,1
"529.1",6,"distracted - familiar",11,5,"straw",0,"9",9,1
"529.1",6,"distracted - familiar",12,6,"spark",0,"5",5,1
"529.1",6,"distracted - familiar",13,8,"bill",0,"6",6,1
"529.1",6,"distracted - familiar",14,10,"voter",0,"8",8,1
"529.1",6,"distracted - familiar",15,4,"chain",0,"10",10,1
"529.1",6,"distracted - familiar",16,3,"pound",0,"4",4,1
"529.1",6,"distracted - familiar",17,7,"taste",0,"3",3,1
"529.1",6,"distracted - familiar",18,6,"gravel",0,"7",7,1
"529.1",6,"distracted - familiar",19,7,"sleeve",0,"6",6,1
"529.1",6,"distracted - familiar",20,9,"cast",1,"7",7,1
"529.1",10,"distracted - familiar",1,6,"coil",1,NA,NA,1
"529.1",10,"distracted - familiar",2,4,"slipper",1,"6",6,1
"529.1",10,"distracted - familiar",3,2,"ride",0,"4",4,1
"529.1",10,"distracted - familiar",4,8,"shell",0,"2",2,1
